"country","happiness_score","gdp_per_capita","social_support","healthy_life_expectancy","freedom_to_make_life_choices","generosity","perceptions_of_corruption","region","year"
"South Africa",5.275,1.417,1.428,0.149,0.464,0.09,0.019,"Sub-Saharan Africa",2023
"North Macedonia",5.254,1.498,1.171,0.408,0.515,0.207,0.02,"Central and Eastern Europe",2023
"Venezuela",5.211,0,1.257,0.341,0.369,0.205,0.084,"Latin America and Caribbean",2023
"Laos",5.111,1.232,0.853,0.257,0.715,0.185,0.162,"Southeast Asia",2023
"Georgia",5.109,1.477,0.947,0.366,0.539,0,0.201,"Central and Eastern Europe",2023
"Guinea",5.072,0.844,0.776,0.072,0.369,0.204,0.102,"Sub-Saharan Africa",2023
"Ukraine",5.071,1.358,1.354,0.355,0.551,0.265,0.016,"Central and Eastern Europe",2023
"Ivory Coast",5.053,1.094,0.584,0.12,0.467,0.138,0.131,"Sub-Saharan Africa",2023
"Gabon",5.035,1.438,1.021,0.183,0.346,0.036,0.102,"Sub-Saharan Africa",2023
"Nigeria",4.981,1.065,1.007,0.092,0.448,0.176,0.013,"Sub-Saharan Africa",2023
"Cameroon",4.973,0.965,0.871,0.118,0.405,0.144,0.059,"Sub-Saharan Africa",2023
"Mozambique",4.954,0.57,0.885,0,0.625,0.161,0.192,"Sub-Saharan Africa",2023
"Iraq",4.941,1.281,0.953,0.324,0.351,0.134,0.038,"Middle East and North Africa",2023
"Morocco",4.903,1.236,0.535,0.337,0.54,0.013,0.085,"Middle East and North Africa",2023
"Iran",4.876,1.465,1.102,0.411,0.281,0.229,0.13,"Middle East and North Africa",2023
"Senegal",4.855,0.943,0.727,0.231,0.519,0.142,0.06,"Sub-Saharan Africa",2023
"Mauritania",4.724,1.099,0.764,0.244,0.32,0.13,0.195,"Sub-Saharan Africa",2023
"Burkina Faso",4.638,0.768,0.814,0.107,0.419,0.188,0.113,"Sub-Saharan Africa",2023
"Namibia",4.631,1.289,1.126,0.145,0.383,0.069,0.071,"Sub-Saharan Africa",2023
"Ghana",4.605,1.101,0.756,0.197,0.526,0.211,0.035,"Sub-Saharan Africa",2023
"Pakistan",4.555,1.081,0.657,0.158,0.511,0.141,0.102,"South Asia",2023
"Niger",4.501,0.561,0.628,0.137,0.54,0.154,0.14,"Sub-Saharan Africa",2023
"Tunisia",4.497,1.333,0.981,0.422,0.259,0.022,0.016,"Middle East and North Africa",2023
"Kenya",4.487,1.051,0.881,0.19,0.418,0.291,0.055,"Sub-Saharan Africa",2023
"Sri Lanka",4.442,1.422,1.224,0.426,0.539,0.12,0.086,"South Asia",2023
"Uganda",4.432,0.785,1.144,0.201,0.425,0.197,0.051,"Sub-Saharan Africa",2023
"Chad",4.397,0.622,0.962,0.043,0.393,0.255,0.088,"Sub-Saharan Africa",2023
"Cambodia",4.393,1.025,1.024,0.283,0.768,0.176,0.051,"Southeast Asia",2023
"Benin",4.374,0.924,0.242,0.124,0.481,0.114,0.253,"Sub-Saharan Africa",2023
"Myanmar",4.372,1.032,1.125,0.269,0.46,0.4,0.194,"Southeast Asia",2023
"Bangladesh",4.282,1.133,0.513,0.355,0.617,0.139,0.165,"South Asia",2023
"Gambia",4.279,0.761,0.614,0.174,0.286,0.332,0.033,"Sub-Saharan Africa",2023
"Mali",4.198,0.763,0.637,0.106,0.441,0.121,0.059,"Sub-Saharan Africa",2023
"Egypt",4.17,1.377,0.972,0.326,0.467,0.038,0.25,"Middle East and North Africa",2023
"Togo",4.137,0.77,0.642,0.161,0.367,0.149,0.136,"Sub-Saharan Africa",2023
"Jordan",4.12,1.292,0.98,0.438,0.517,0.056,0.173,"Middle East and North Africa",2023
"Ethiopia",4.091,0.793,1.114,0.25,0.451,0.283,0.101,"Sub-Saharan Africa",2023
"Liberia",4.042,0.628,0.644,0.141,0.471,0.219,0.071,"Sub-Saharan Africa",2023
"India",4.036,1.159,0.674,0.252,0.685,0.175,0.111,"South Asia",2023
"Madagascar",4.019,0.632,0.779,0.178,0.187,0.177,0.134,"Sub-Saharan Africa",2023
"Zambia",3.982,0.914,0.89,0.095,0.545,0.189,0.08,"Sub-Saharan Africa",2023
"Tanzania",3.694,0.836,0.787,0.214,0.607,0.234,0.269,"Sub-Saharan Africa",2023
"Comoros",3.545,0.914,0.327,0.215,0.117,0.129,0.145,"Sub-Saharan Africa",2023
"Malawi",3.495,0.637,0.479,0.189,0.49,0.139,0.129,"Sub-Saharan Africa",2023
"Botswana",3.435,1.471,1.041,0.087,0.48,0.021,0.071,"Sub-Saharan Africa",2023
"Zimbabwe",3.204,0.758,0.881,0.069,0.363,0.112,0.117,"Sub-Saharan Africa",2023
"Sierra Leone",3.138,0.67,0.54,0.092,0.371,0.193,0.051,"Sub-Saharan Africa",2023
"Lebanon",2.392,1.417,0.476,0.398,0.123,0.061,0.027,"Middle East and North Africa",2023
"Afghanistan",1.859,0.645,0,0.087,0,0.093,0.059,"South Asia",2023
